                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4954,                 3.8612,                 4.2237,                0.00264,                0.47076,                0.00467,                0.00113,                 3.4722,                 4.2615,                 4.1536,                 0.0005,                 0.0005,                 0.0005
                      2,                 3.1873,                 3.3812,                 3.9475,                0.00282,                0.50292,                0.00605,                0.00139,                  3.522,                 4.1964,                 4.2243,             0.00098634,             0.00098634,             0.00098634
                      3,                 3.0434,                 3.0882,                  3.669,                 0.0034,                0.60673,                  0.007,                0.00232,                 3.0395,                 3.7775,                  3.851,              0.0014384,              0.0014384,              0.0014384
                      4,                 2.8558,                 2.8994,                 3.4465,                0.08176,                0.35088,                0.07171,                0.02485,                 2.5444,                 4.9525,                  5.055,               0.001802,               0.001802,               0.001802
                      5,                 2.7375,                 2.7246,                 3.3102,                0.42438,                0.34357,                0.30349,                0.10597,                 2.5202,                 3.9189,                 3.8333,               0.001736,               0.001736,               0.001736
                      6,                 2.6117,                 2.6463,                 3.1627,                0.31891,                0.32653,                0.25121,                0.09211,                 2.4733,                 2.9745,                 3.5569,                0.00167,                0.00167,                0.00167
                      7,                  2.511,                 2.5169,                 3.0701,                  0.233,                 0.3655,                0.20349,                0.06874,                 2.2817,                 5.1191,                 3.0154,               0.001604,               0.001604,               0.001604
                      8,                 2.5101,                 2.4871,                 3.0245,                0.60467,                0.46736,                 0.4918,                 0.1879,                 2.1519,                 2.5145,                 2.8212,               0.001538,               0.001538,               0.001538
                      9,                 2.4731,                 2.3816,                 2.9704,                0.64201,                0.45468,                0.55097,                0.21341,                 2.2272,                 2.3308,                 2.8018,               0.001472,               0.001472,               0.001472
                     10,                 2.4684,                 2.2539,                 2.9059,                0.62138,                0.55426,                0.61199,                0.25337,                 2.0836,                 2.4453,                  2.733,               0.001406,               0.001406,               0.001406
                     11,                 2.4169,                 2.2725,                 2.8758,                0.55109,                0.52047,                0.51572,                0.19469,                  2.132,                 2.1077,                 2.7258,                0.00134,                0.00134,                0.00134
                     12,                 2.3474,                 2.2132,                 2.8002,                 0.7051,                0.58772,                0.68467,                0.28153,                 2.0474,                 1.9662,                  2.667,               0.001274,               0.001274,               0.001274
                     13,                 2.2978,                 2.0929,                 2.7492,                 0.7583,                0.60819,                0.68683,                0.29353,                 2.0168,                  1.818,                  2.623,               0.001208,               0.001208,               0.001208
                     14,                 2.2732,                  2.096,                 2.7429,                0.63731,                0.58829,                0.63598,                0.27832,                 1.9507,                 1.8863,                 2.5688,               0.001142,               0.001142,               0.001142
                     15,                 2.2408,                 2.1146,                 2.7312,                0.56183,                0.56612,                0.59706,                 0.2249,                 2.1021,                 1.9895,                 2.6344,               0.001076,               0.001076,               0.001076
                     16,                 2.2347,                 1.9547,                 2.6731,                0.75168,                0.64035,                0.72698,                0.32333,                 1.9809,                 1.7169,                 2.5205,                0.00101,                0.00101,                0.00101
                     17,                 2.1816,                 1.9267,                 2.5945,                0.70696,                0.63596,                0.70153,                0.27568,                 2.0582,                 1.7065,                 2.5694,               0.000944,               0.000944,               0.000944
                     18,                 2.1609,                 1.8982,                 2.5866,                0.70483,                0.64235,                0.67653,                0.29141,                 1.9937,                 1.6859,                 2.5557,               0.000878,               0.000878,               0.000878
                     19,                  2.132,                 1.8505,                 2.5836,                0.78494,                0.68129,                0.78103,                0.36703,                 1.8746,                 1.5715,                 2.4379,               0.000812,               0.000812,               0.000812
                     20,                 2.0981,                 1.8508,                 2.5736,                0.75109,                0.71637,                0.78485,                0.38465,                 1.8294,                 1.4815,                 2.4394,               0.000746,               0.000746,               0.000746
                     21,                 1.8971,                 1.6887,                 2.4592,                0.79896,                0.73392,                0.81988,                0.41404,                 1.7837,                 1.4473,                 2.4152,                0.00068,                0.00068,                0.00068
                     22,                 1.8983,                 1.5667,                 2.4433,                0.82469,                0.77025,                0.83947,                0.42048,                 1.7855,                 1.3622,                 2.3859,               0.000614,               0.000614,               0.000614
                     23,                 1.8209,                 1.4575,                 2.3877,                0.84151,                0.79386,                0.85984,                0.43113,                 1.7543,                 1.3398,                 2.3394,               0.000548,               0.000548,               0.000548
                     24,                 1.7634,                 1.4572,                 2.3224,                0.87425,                0.79094,                0.87629,                0.43644,                  1.741,                 1.2715,                 2.3436,               0.000482,               0.000482,               0.000482
                     25,                  1.784,                  1.397,                 2.3001,                0.87561,                0.80556,                0.87755,                0.44895,                 1.7136,                  1.245,                 2.2948,               0.000416,               0.000416,               0.000416
                     26,                 1.7888,                 1.3984,                 2.3106,                0.88753,                 0.8307,                0.90606,                0.49262,                 1.6156,                 1.1949,                 2.2094,                0.00035,                0.00035,                0.00035
                     27,                 1.7178,                 1.3561,                 2.2757,                0.90266,                0.82456,                0.90937,                0.49537,                   1.63,                 1.1782,                 2.2187,               0.000284,               0.000284,               0.000284
                     28,                 1.6909,                  1.313,                 2.2365,                0.89632,                0.83419,                 0.9077,                0.49372,                 1.6272,                 1.1467,                 2.2244,               0.000218,               0.000218,               0.000218
                     29,                 1.6715,                  1.317,                 2.2238,                0.90613,                0.83918,                0.91893,                0.49629,                 1.5838,                 1.1259,                 2.1677,               0.000152,               0.000152,               0.000152
                     30,                 1.6597,                 1.2868,                 2.2192,                0.90288,                0.84649,                0.92146,                0.52468,                 1.5432,                 1.0927,                 2.1396,                8.6e-05,                8.6e-05,                8.6e-05
